rank,freq,Wort,Wortart,"Hörbeispiele",Synonyme,"Gegenwörter","Übersetzung",pronunciation_url
7968,461,vorbeigehen,Verb,"De-vorbeigehen 01 (fcm).ogg",NYI,NYI,"go by, pass by","https://commons.wikimedia.org/wiki/Special:FilePath/De-vorbeigehen 01 (fcm).ogg"
7969,461,Romantik,Substantiv,De-Romantik.ogg,NYI,NYI,romanticism,https://commons.wikimedia.org/wiki/Special:FilePath/De-Romantik.ogg
7970,461,"Flüchtlinge","Deklinierte Form","De-Flüchtlinge.ogg",NYI,NYI,"","https://commons.wikimedia.org/wiki/Special:FilePath/De-Flüchtlinge.ogg"
7971,461,donnern,Verb,De-donnern.ogg,NYI,NYI,thunder,https://commons.wikimedia.org/wiki/Special:FilePath/De-donnern.ogg
7972,461,buchstabieren,Verb,De-buchstabieren.ogg,NYI,NYI,spell,https://commons.wikimedia.org/wiki/Special:FilePath/De-buchstabieren.ogg
7973,461,Lebensform,Substantiv,"",NYI,NYI,"",""
7974,461,"Stützpunkt",Substantiv,"",NYI,NYI,"fulcrum, base",""
7975,461,"überarbeiten",Verb,"}}, {{Prät.",NYI,NYI,overwork,"https://commons.wikimedia.org/wiki/Special:FilePath/}}, {{Prät."
7976,461,Objekte,"Deklinierte Form",De-Objekte.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Objekte.ogg
7982,460,anflehen,Verb,De-anflehen.ogg,NYI,NYI,"beg, beseech",https://commons.wikimedia.org/wiki/Special:FilePath/De-anflehen.ogg
7986,460,Joint,Substantiv,De-Joint.ogg,NYI,NYI,"joint, spliff",https://commons.wikimedia.org/wiki/Special:FilePath/De-Joint.ogg
7987,460,"flöten",Verb,"De-flöten.ogg",NYI,NYI,whistle,"https://commons.wikimedia.org/wiki/Special:FilePath/De-flöten.ogg"
7988,460,Bettler,Substantiv,De-Bettler.ogg,NYI,NYI,"beggar, panhandler",https://commons.wikimedia.org/wiki/Special:FilePath/De-Bettler.ogg
7990,460,gegeneinander,Adverb,De-gegeneinander.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-gegeneinander.ogg
7992,460,"Läufer",Substantiv,"De-Läufer.ogg",NYI,NYI,"runner, bishop, armature, muller","https://commons.wikimedia.org/wiki/Special:FilePath/De-Läufer.ogg"
7993,460,poltern,Verb,De-poltern.ogg,NYI,NYI,"jangle, rumble, rant",https://commons.wikimedia.org/wiki/Special:FilePath/De-poltern.ogg
7994,459,Rudel,Substantiv,De-Rudel.ogg,NYI,NYI,pack,https://commons.wikimedia.org/wiki/Special:FilePath/De-Rudel.ogg
7996,459,"oberflächlich",Adjektiv,"De-oberflächlich.ogg",NYI,NYI,"glib, superficial","https://commons.wikimedia.org/wiki/Special:FilePath/De-oberflächlich.ogg"
7997,459,Schlagzeilen,"Deklinierte Form",De-Schlagzeilen.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Schlagzeilen.ogg
7999,459,Lebensformen,"Deklinierte Form","",NYI,NYI,"",""
8000,459,bislang,Adverb,De-bislang.ogg,NYI,NYI,"so far, up to now, hitherto, until now, yet",https://commons.wikimedia.org/wiki/Special:FilePath/De-bislang.ogg
8001,459,Thailand,Toponym,De-Thailand.ogg,NYI,NYI,Thailand,https://commons.wikimedia.org/wiki/Special:FilePath/De-Thailand.ogg
8002,459,Briefkasten,Substantiv,De-Briefkasten.ogg,NYI,NYI,"postbox, collection box, mailbox, letter box, drop box, letter-box, postbox, mailbox",https://commons.wikimedia.org/wiki/Special:FilePath/De-Briefkasten.ogg
8003,459,Absturz,Substantiv,De-Absturz.ogg,NYI,NYI,"fall, crash, system crash",https://commons.wikimedia.org/wiki/Special:FilePath/De-Absturz.ogg
8004,459,Beamter,Substantiv,De-Beamter.ogg,NYI,NYI,"civil servant, official",https://commons.wikimedia.org/wiki/Special:FilePath/De-Beamter.ogg
8005,459,"Schuldgefühle","Deklinierte Form","",NYI,NYI,"",""
8006,458,Heizung,Substantiv,De-Heizung.ogg,NYI,NYI,heating,https://commons.wikimedia.org/wiki/Special:FilePath/De-Heizung.ogg
8007,458,Umzug,Substantiv,"",NYI,NYI,"move, relocation, procession, procesiune",""
8008,458,Apachen,"Deklinierte Form","",NYI,NYI,"",""
8009,458,Terror,Substantiv,De-Terror.ogg,NYI,NYI,terror,https://commons.wikimedia.org/wiki/Special:FilePath/De-Terror.ogg
8010,458,betrag,"Konjugierte Form","",NYI,NYI,"",""
8011,458,wahrlich,Adverb,De-wahrlich.ogg,NYI,NYI,verily,https://commons.wikimedia.org/wiki/Special:FilePath/De-wahrlich.ogg
8012,458,spanische,"Deklinierte Form","",NYI,NYI,"",""
8013,458,Meisterwerk,Substantiv,De-Meisterwerk.ogg,NYI,NYI,masterpiece,https://commons.wikimedia.org/wiki/Special:FilePath/De-Meisterwerk.ogg
8015,458,anschnallen,Verb,De-anschnallen.ogg,NYI,NYI,"buckle on, strap up, strap sb. in",https://commons.wikimedia.org/wiki/Special:FilePath/De-anschnallen.ogg
8016,457,Aufprall,Substantiv,De-Aufprall.ogg,NYI,NYI,impact,https://commons.wikimedia.org/wiki/Special:FilePath/De-Aufprall.ogg
8017,457,Begeisterung,Substantiv,De-Begeisterung.ogg,NYI,NYI,"enthusiasm, ardor",https://commons.wikimedia.org/wiki/Special:FilePath/De-Begeisterung.ogg
8018,457,Jupiter,Eigenname,De-Jupiter.ogg,NYI,NYI,Jupiter,https://commons.wikimedia.org/wiki/Special:FilePath/De-Jupiter.ogg
8019,457,kandidieren,Verb,"",NYI,NYI,"contest, run for, be a candidate",""
8020,457,Biene,Substantiv,De-Biene.ogg,NYI,NYI,"bee, honeybee, drone",https://commons.wikimedia.org/wiki/Special:FilePath/De-Biene.ogg
8022,457,verarsch,"Konjugierte Form","",NYI,NYI,"",""
8023,457,"ausschließlich",Adjektiv,"De-at-ausschließlich.ogg",NYI,NYI,exclusive,"https://commons.wikimedia.org/wiki/Special:FilePath/De-at-ausschließlich.ogg"
8024,457,"Höflichkeit",Substantiv,"De-Höflichkeit.ogg",NYI,NYI,"politeness, complaisance, suavity","https://commons.wikimedia.org/wiki/Special:FilePath/De-Höflichkeit.ogg"
8026,457,Bindung,Substantiv,De-Bindung.ogg,NYI,NYI,"relationship, tie, attachment, bond, commitment",https://commons.wikimedia.org/wiki/Special:FilePath/De-Bindung.ogg
8027,457,Limousine,Substantiv,De-Limousine.ogg,NYI,NYI,"sedan, saloon",https://commons.wikimedia.org/wiki/Special:FilePath/De-Limousine.ogg
8029,457,wachsam,Adjektiv,De-wachsam.ogg,NYI,NYI,"wary, observant",https://commons.wikimedia.org/wiki/Special:FilePath/De-wachsam.ogg
8030,456,Mehl,Substantiv,De-Mehl.ogg,NYI,NYI,"flour, meal",https://commons.wikimedia.org/wiki/Special:FilePath/De-Mehl.ogg
8031,456,insbesondere,Adverb,De-insbesondere.ogg,NYI,NYI,"in particular, particularly",https://commons.wikimedia.org/wiki/Special:FilePath/De-insbesondere.ogg
8032,456,Bug,Toponym,De-Bug.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Bug.ogg
8033,456,Handschuh,Substantiv,De-Handschuh.ogg,NYI,NYI,glove,https://commons.wikimedia.org/wiki/Special:FilePath/De-Handschuh.ogg
8034,456,Zeilen,"Deklinierte Form",De-Zeilen.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Zeilen.ogg
8035,456,Neuanfang,Substantiv,"",NYI,NYI,"new beginning, fresh start",""
8036,456,geige,"Konjugierte Form","",NYI,NYI,"",""
8038,456,ausnahmsweise,Adverb,De-ausnahmsweise.ogg,NYI,NYI,"as an exception, by way of exception, by way of exemption, exceptionally",https://commons.wikimedia.org/wiki/Special:FilePath/De-ausnahmsweise.ogg
8039,456,Creek,Substantiv,"",NYI,NYI,Creek,""
8040,456,Zigeuner,Substantiv,"",NYI,NYI,"Gypsy, gypsy, Gipsy, gipsy, Tzigane, tzigane",""
8041,456,Gastgeber,Substantiv,De-Gastgeber.ogg,NYI,NYI,host,https://commons.wikimedia.org/wiki/Special:FilePath/De-Gastgeber.ogg
8042,456,abschlagen,Verb,De-abschlagen.ogg,NYI,NYI,"knock off, beat, repulse, drive back, repel, refuse, strike",https://commons.wikimedia.org/wiki/Special:FilePath/De-abschlagen.ogg
8043,456,"hässlichen","Deklinierte Form","",NYI,NYI,"",""
8044,456,Ren,Substantiv,De-Ren.ogg,NYI,NYI,"reindeer, caribou",https://commons.wikimedia.org/wiki/Special:FilePath/De-Ren.ogg
8045,456,Obhut,Substantiv,"",NYI,NYI,care,""
8046,456,Mordkommission,Substantiv,"",NYI,NYI,"homicide squad, murder squad",""
8047,455,Ecken,"Deklinierte Form",De-Ecken.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Ecken.ogg
8048,455,Nieten,"Deklinierte Form","",NYI,NYI,"",""
8050,455,Istanbul,Toponym,De-Istanbul.ogg,NYI,NYI,"Istanbul (Englisch)|Istanbul",https://commons.wikimedia.org/wiki/Special:FilePath/De-Istanbul.ogg
8051,455,Hauptrolle,Substantiv,De-Hauptrolle.ogg,NYI,NYI,"main role",https://commons.wikimedia.org/wiki/Special:FilePath/De-Hauptrolle.ogg
8053,455,beschwingt,"Konjugierte Form",De-beschwingt.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-beschwingt.ogg
8054,455,verwischen,Verb,De-verwischen.ogg,NYI,NYI,"smudge, blur",https://commons.wikimedia.org/wiki/Special:FilePath/De-verwischen.ogg
8055,454,Jazz,Substantiv,De-Jazz.ogg,NYI,NYI,jazz,https://commons.wikimedia.org/wiki/Special:FilePath/De-Jazz.ogg
8056,454,zurechtkommen,Verb,"}}, {{Prät.",NYI,NYI,"cope, manage","https://commons.wikimedia.org/wiki/Special:FilePath/}}, {{Prät."
8057,454,Chefs,"Deklinierte Form",De-Chefs.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Chefs.ogg
8058,454,Hinterkopf,Substantiv,De-Hinterkopf.ogg,NYI,NYI,occiput,https://commons.wikimedia.org/wiki/Special:FilePath/De-Hinterkopf.ogg
8059,454,Entwurf,Substantiv,De-Entwurf.ogg,NYI,NYI,"design, draft",https://commons.wikimedia.org/wiki/Special:FilePath/De-Entwurf.ogg
8060,454,"verdrängen",Verb,"",NYI,NYI,"displace, repress",""
8061,454,Schichten,"Deklinierte Form",De-Schichten.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Schichten.ogg
8063,454,tarnen,Verb,De-tarnen.ogg,NYI,NYI,camouflage,https://commons.wikimedia.org/wiki/Special:FilePath/De-tarnen.ogg
8064,454,Phantasie,Substantiv,De-Phantasie.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Phantasie.ogg
8065,454,Orchester,Substantiv,De-Orchester.ogg,NYI,NYI,orchestra,https://commons.wikimedia.org/wiki/Special:FilePath/De-Orchester.ogg
8067,454,Trompeten,"Deklinierte Form",De-at-Trompeten.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-at-Trompeten.ogg
8068,454,wehtut,"Konjugierte Form","",NYI,NYI,"",""
8070,454,wahrhaftig,Adjektiv,"",NYI,NYI,"in truth, true, truthful, real, veracious",""
8071,453,"Millionär",Substantiv,"De-Millionär.ogg",NYI,NYI,millionaire,"https://commons.wikimedia.org/wiki/Special:FilePath/De-Millionär.ogg"
8073,453,christlich,Adjektiv,De-christlich.ogg,NYI,NYI,Christian,https://commons.wikimedia.org/wiki/Special:FilePath/De-christlich.ogg
8074,453,verrotten,Verb,De-verrotten.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-verrotten.ogg
8075,453,Halts,"Deklinierte Form","",NYI,NYI,"",""
8077,453,Magazine,"Deklinierte Form",De-Magazine.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Magazine.ogg
8078,453,Sandwiches,"Deklinierte Form",De-Sandwiches.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Sandwiches.ogg
8079,453,Fernbedienung,Substantiv,De-Fernbedienung.ogg,NYI,NYI,"remote, remote control, remote controller",https://commons.wikimedia.org/wiki/Special:FilePath/De-Fernbedienung.ogg
8080,453,"Häschen",Substantiv,"De-Häschen.ogg",NYI,NYI,leveret,"https://commons.wikimedia.org/wiki/Special:FilePath/De-Häschen.ogg"
8082,452,Beteiligung,Substantiv,De-Beteiligung.ogg,NYI,NYI,"participation, stake, interest",https://commons.wikimedia.org/wiki/Special:FilePath/De-Beteiligung.ogg
8084,452,Vorwurf,Substantiv,De-Vorwurf.ogg,NYI,NYI,accusation,https://commons.wikimedia.org/wiki/Special:FilePath/De-Vorwurf.ogg
8087,452,Page,Substantiv,De-Page.ogg,NYI,NYI,"groom, bellboy, bellhop, bellman",https://commons.wikimedia.org/wiki/Special:FilePath/De-Page.ogg
8089,452,Galaxien,"Deklinierte Form",De-Galaxien.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Galaxien.ogg
8090,452,perle,"Konjugierte Form","",NYI,NYI,"",""
8091,452,"unzählige","Deklinierte Form","",NYI,NYI,"",""
8092,452,"Gebäudes","Deklinierte Form","LL-Q188 (deu)-Sebastian Wallroth-Gebäudes.wav",NYI,NYI,"","https://commons.wikimedia.org/wiki/Special:FilePath/LL-Q188 (deu)-Sebastian Wallroth-Gebäudes.wav"
8093,452,"genieß","Konjugierte Form","",NYI,NYI,"",""
8094,452,Eindringling,Substantiv,De-Eindringling.ogg,NYI,NYI,"intruder, invader",https://commons.wikimedia.org/wiki/Special:FilePath/De-Eindringling.ogg
8095,452,"Häftling",Substantiv,"De-Häftling.ogg",NYI,NYI,"detainee, prisoner","https://commons.wikimedia.org/wiki/Special:FilePath/De-Häftling.ogg"
8097,451,Stadion,Substantiv,De-Stadion.ogg,NYI,NYI,stadium,https://commons.wikimedia.org/wiki/Special:FilePath/De-Stadion.ogg
8098,451,Nebenwirkungen,"Deklinierte Form","",NYI,NYI,"",""
8099,451,zusammensetzen,Verb,"",NYI,NYI,"put together, compose, meet",""
8100,451,Element,Substantiv,De-Element.ogg,NYI,NYI,element,https://commons.wikimedia.org/wiki/Special:FilePath/De-Element.ogg
8101,451,"Männchen",Substantiv,"De-Männchen.ogg",NYI,NYI,male,"https://commons.wikimedia.org/wiki/Special:FilePath/De-Männchen.ogg"
8102,451,Schurke,Substantiv,De-Schurke.ogg,NYI,NYI,"rogue, villain",https://commons.wikimedia.org/wiki/Special:FilePath/De-Schurke.ogg
8103,451,aufschlagen,Verb,De-aufschlagen.ogg,NYI,NYI,open,https://commons.wikimedia.org/wiki/Special:FilePath/De-aufschlagen.ogg
8104,451,relevant,Adjektiv,De-relevant.ogg,NYI,NYI,relevant,https://commons.wikimedia.org/wiki/Special:FilePath/De-relevant.ogg
8107,450,kit,"Konjugierte Form","",NYI,NYI,"",""
8108,450,gutmachen,Verb,"",NYI,NYI,"",""
8109,450,"Häuschen",Substantiv,"De-Häuschen.ogg",NYI,NYI,"","https://commons.wikimedia.org/wiki/Special:FilePath/De-Häuschen.ogg"
8110,450,Adressen,"Deklinierte Form",De-Adressen.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Adressen.ogg
8111,450,meckern,Verb,De-meckern.ogg,NYI,NYI,"bitch, nag, complain",https://commons.wikimedia.org/wiki/Special:FilePath/De-meckern.ogg
8113,450,beanspruchen,Verb,"",NYI,NYI,"claim, use, put under stress, require",""
8114,450,dreizehn,Numerale,De-dreizehn.ogg,NYI,NYI,thirteen,https://commons.wikimedia.org/wiki/Special:FilePath/De-dreizehn.ogg
8115,450,kapital,Adjektiv,De-kapital.ogg,NYI,NYI,"major, royal",https://commons.wikimedia.org/wiki/Special:FilePath/De-kapital.ogg
8116,450,vernehmen,Verb,De-vernehmen.ogg,NYI,NYI,"hear, interrogate, question, examine",https://commons.wikimedia.org/wiki/Special:FilePath/De-vernehmen.ogg
8118,450,Cox,Substantiv,De-Cox.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Cox.ogg
8119,449,gewillt,Adjektiv,De-gewillt.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-gewillt.ogg
8120,449,Verwendung,Substantiv,De-at-Verwendung.ogg,NYI,NYI,"use, usage, utilisation, utilization",https://commons.wikimedia.org/wiki/Special:FilePath/De-at-Verwendung.ogg
8121,449,Vorschuss,Substantiv,De-Vorschuss.ogg,NYI,NYI,advance,https://commons.wikimedia.org/wiki/Special:FilePath/De-Vorschuss.ogg
8122,449,anliegen,Verb,"",NYI,NYI,"",""
8123,449,"Belästigung",Substantiv,"De-Belästigung.ogg",NYI,NYI,"annoyance, harassment","https://commons.wikimedia.org/wiki/Special:FilePath/De-Belästigung.ogg"
8124,449,Cents,"Deklinierte Form",De-Cents.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Cents.ogg
8125,449,Hacker,Substantiv,De-Hacker.ogg,NYI,NYI,hacker,https://commons.wikimedia.org/wiki/Special:FilePath/De-Hacker.ogg
8126,449,Blutungen,"Deklinierte Form","",NYI,NYI,"",""
8127,449,Teich,Substantiv,De-Teich.ogg,NYI,NYI,"pond, pool",https://commons.wikimedia.org/wiki/Special:FilePath/De-Teich.ogg
8128,449,Donuts,"Deklinierte Form","",NYI,NYI,"",""
8129,449,Wagner,Substantiv,De-Wagner.ogg,NYI,NYI,"wainwright, cartwright, wheelwright, wagoner, waggoner",https://commons.wikimedia.org/wiki/Special:FilePath/De-Wagner.ogg
8130,449,"Fäden","Deklinierte Form","De-Fäden.ogg",NYI,NYI,"","https://commons.wikimedia.org/wiki/Special:FilePath/De-Fäden.ogg"
8131,448,Irrenhaus,Substantiv,De-Irrenhaus.ogg,NYI,NYI,"madhouse, loony bin",https://commons.wikimedia.org/wiki/Special:FilePath/De-Irrenhaus.ogg
8132,448,Dimension,Substantiv,De-Dimension.ogg,NYI,NYI,dimension,https://commons.wikimedia.org/wiki/Special:FilePath/De-Dimension.ogg
8133,448,erklingen,Verb,"",NYI,NYI,"",""
8134,448,Trauzeuge,Substantiv,"",NYI,NYI,"best man, witness to a marriage",""
8135,448,Tonne,Substantiv,De-Tonne.ogg,NYI,NYI,"barrel, cask, ton, register ton, buoy, fatty",https://commons.wikimedia.org/wiki/Special:FilePath/De-Tonne.ogg
8138,448,abdecken,Verb,De-abdecken.ogg,NYI,NYI,"remove, uncover, hood, cover",https://commons.wikimedia.org/wiki/Special:FilePath/De-abdecken.ogg
8139,448,verhelfen,Verb,"",NYI,NYI,"",""
8143,447,"Zahnbürste",Substantiv,"De-Zahnbürste.ogg",NYI,NYI,toothbrush,"https://commons.wikimedia.org/wiki/Special:FilePath/De-Zahnbürste.ogg"
8144,447,gelehrt,Adjektiv,De-gelehrt.ogg,NYI,NYI,"learned, scholarly, adept, erudite",https://commons.wikimedia.org/wiki/Special:FilePath/De-gelehrt.ogg
8145,447,verabscheuen,Verb,De-verabscheuen.ogg,NYI,NYI,"abhor, detest",https://commons.wikimedia.org/wiki/Special:FilePath/De-verabscheuen.ogg
8147,447,rekrutieren,Verb,De-rekrutieren.ogg,NYI,NYI,recruit,https://commons.wikimedia.org/wiki/Special:FilePath/De-rekrutieren.ogg
8148,447,Belastung,Substantiv,De-Belastung.ogg,NYI,NYI,"strain, burden",https://commons.wikimedia.org/wiki/Special:FilePath/De-Belastung.ogg
8149,447,"Gehirnerschütterung",Substantiv,"De-Gehirnerschütterung.ogg",NYI,NYI,concussion,"https://commons.wikimedia.org/wiki/Special:FilePath/De-Gehirnerschütterung.ogg"
8152,447,abwerfen,Verb,"",NYI,NYI,"unhorse, dismount, pull down, slip off, shed, produce",""
8153,447,zumuten,Verb,"",NYI,NYI,"expect, ask",""
8154,446,Nachweisen,"Deklinierte Form","",NYI,NYI,"",""
8155,446,samt,"Präposition",De-samt.ogg,NYI,NYI,"along, together, with",https://commons.wikimedia.org/wiki/Special:FilePath/De-samt.ogg
8158,446,auskennen,Verb,"",NYI,NYI,"to be familiar with sth.",""
8160,446,demonstrieren,Verb,"LL-Q188 (deu)-Sebastian Wallroth-demonstrieren.wav",NYI,NYI,demonstrate,"https://commons.wikimedia.org/wiki/Special:FilePath/LL-Q188 (deu)-Sebastian Wallroth-demonstrieren.wav"
8161,446,Joel,Vorname,"",NYI,NYI,Joel,""
8162,446,mild,Adjektiv,De-mild.ogg,NYI,NYI,"gentle, mild, lenient, soft, mellow",https://commons.wikimedia.org/wiki/Special:FilePath/De-mild.ogg
8163,445,furzen,Verb,De-furzen.ogg,NYI,NYI,fart,https://commons.wikimedia.org/wiki/Special:FilePath/De-furzen.ogg
8164,445,"Wänden","Deklinierte Form","LL-Q188 (deu)-Sebastian Wallroth-Wänden.wav",NYI,NYI,"","https://commons.wikimedia.org/wiki/Special:FilePath/LL-Q188 (deu)-Sebastian Wallroth-Wänden.wav"
8165,445,unvorstellbar,Adjektiv,De-unvorstellbar.ogg,NYI,NYI,"unimaginable, inconceivable, unthinkable, unimaginably, inconceivably",https://commons.wikimedia.org/wiki/Special:FilePath/De-unvorstellbar.ogg
8167,444,Patronen,"Deklinierte Form",De-Patronen.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Patronen.ogg
8168,444,"Nervensäge",Substantiv,"De-Nervensäge.ogg",NYI,NYI,"pain in the neck, pain in the ass","https://commons.wikimedia.org/wiki/Special:FilePath/De-Nervensäge.ogg"
8169,444,"Handtücher","Deklinierte Form","",NYI,NYI,"",""
8170,444,erreichbar,Adjektiv,De-erreichbar.ogg,NYI,NYI,"contactable, achievable, attainable, accessible, approachable, reachable",https://commons.wikimedia.org/wiki/Special:FilePath/De-erreichbar.ogg
8171,444,unberechenbar,Adjektiv,De-unberechenbar.ogg,NYI,NYI,"unpredictable, incalculable",https://commons.wikimedia.org/wiki/Special:FilePath/De-unberechenbar.ogg
8172,444,Business,Substantiv,De-Business.ogg,NYI,NYI,business,https://commons.wikimedia.org/wiki/Special:FilePath/De-Business.ogg
8173,444,Pony,Substantiv,"",NYI,NYI,pony,""
8174,444,fortgehen,Verb,De-fortgehen.ogg,NYI,NYI,"leave, carry on, continue",https://commons.wikimedia.org/wiki/Special:FilePath/De-fortgehen.ogg
8175,444,Blutbad,Substantiv,De-Blutbad.ogg,NYI,NYI,"bloodbath, massacre, carnage",https://commons.wikimedia.org/wiki/Special:FilePath/De-Blutbad.ogg
8176,444,stapel,"Konjugierte Form","",NYI,NYI,"",""
8178,444,stellvertretend,Adjektiv,De-stellvertretend.ogg,NYI,NYI,"acting, deputy, vicarious",https://commons.wikimedia.org/wiki/Special:FilePath/De-stellvertretend.ogg
8179,444,spalten,Verb,De-spalten.ogg,NYI,NYI,"split, cleave",https://commons.wikimedia.org/wiki/Special:FilePath/De-spalten.ogg
8180,443,medium,Adjektiv,De-medium.ogg,NYI,NYI,medium,https://commons.wikimedia.org/wiki/Special:FilePath/De-medium.ogg
8181,443,Steinen,Toponym,"",NYI,NYI,"",""
8182,443,"Gegenstände","Deklinierte Form","De-Gegenstände.ogg",NYI,NYI,"","https://commons.wikimedia.org/wiki/Special:FilePath/De-Gegenstände.ogg"
8185,443,Arbeitszimmer,Substantiv,De-Arbeitszimmer.ogg,NYI,NYI,"bureau, home office, study, workroom",https://commons.wikimedia.org/wiki/Special:FilePath/De-Arbeitszimmer.ogg
8186,443,"zähl","Konjugierte Form","",NYI,NYI,"",""
8187,443,zugrunde,Adverb,De-zugrunde.ogg,NYI,NYI,destroyed,https://commons.wikimedia.org/wiki/Special:FilePath/De-zugrunde.ogg
8190,443,Umhang,Substantiv,"",NYI,NYI,"cloak, cape",""
8192,443,"bewältigen",Verb,"De-bewältigen.ogg",NYI,NYI,"cope with","https://commons.wikimedia.org/wiki/Special:FilePath/De-bewältigen.ogg"
8194,443,wissenschaftliche,"Deklinierte Form","",NYI,NYI,"",""
8195,443,Psychologie,Substantiv,De-Psychologie.OGG,NYI,NYI,psychology,https://commons.wikimedia.org/wiki/Special:FilePath/De-Psychologie.OGG
8196,443,"Auslöser",Substantiv,"De-Auslöser.ogg",NYI,NYI,"detonator, trigger, release, ) shutter-release button, shutter button, actuator","https://commons.wikimedia.org/wiki/Special:FilePath/De-Auslöser.ogg"
8197,443,"Dänemark",Toponym,"De-Dänemark.ogg",NYI,NYI,Denmark,"https://commons.wikimedia.org/wiki/Special:FilePath/De-Dänemark.ogg"
8198,442,schwur,"Konjugierte Form","",NYI,NYI,"",""
8200,442,Iren,"Deklinierte Form","",NYI,NYI,"",""
8201,442,"künstliche","Deklinierte Form","",NYI,NYI,"",""
8203,442,"Täuschung",Substantiv,"De-Täuschung.ogg",NYI,NYI,"deception, fake, deke, trick, swindle, chicanery, mistake, delusion, illusion","https://commons.wikimedia.org/wiki/Special:FilePath/De-Täuschung.ogg"
8204,442,"Schwägerin",Substantiv,"De-Schwägerin.ogg",NYI,NYI,sister-in-law,"https://commons.wikimedia.org/wiki/Special:FilePath/De-Schwägerin.ogg"
8205,442,"Autoschlüssel",Substantiv,"De-Autoschlüssel.ogg",NYI,NYI,"car key","https://commons.wikimedia.org/wiki/Special:FilePath/De-Autoschlüssel.ogg"
8206,442,Architekt,Substantiv,De-Architekt.ogg,NYI,NYI,"architect, building designer",https://commons.wikimedia.org/wiki/Special:FilePath/De-Architekt.ogg
8207,441,dreifach,Adjektiv,De-dreifach.ogg,NYI,NYI,"threefold, triple",https://commons.wikimedia.org/wiki/Special:FilePath/De-dreifach.ogg
8209,441,"Präsentation",Substantiv,"De-Präsentation.ogg",NYI,NYI,presentation,"https://commons.wikimedia.org/wiki/Special:FilePath/De-Präsentation.ogg"
8210,441,plage,"Konjugierte Form","",NYI,NYI,"",""
8211,441,Crack,Substantiv,De-Crack.ogg,NYI,NYI,crack,https://commons.wikimedia.org/wiki/Special:FilePath/De-Crack.ogg
8212,441,Wahlen,Toponym,"",NYI,NYI,"",""
8213,441,auffressen,Verb,"",NYI,NYI,"eat up, devour",""
8214,441,abladen,Verb,"",NYI,NYI,unload,""
8215,441,Alexis,Vorname,"",NYI,NYI,Alexis,""
8216,441,silbern,Adjektiv,De-silbern.ogg,NYI,NYI,"silvern, silver",https://commons.wikimedia.org/wiki/Special:FilePath/De-silbern.ogg
8217,441,"tüchtig",Adjektiv,"De-tüchtig.ogg",NYI,NYI,"brave, diligent, doughty, efficient, industrious, proficiently","https://commons.wikimedia.org/wiki/Special:FilePath/De-tüchtig.ogg"
8218,440,"Schließfach",Substantiv,"De-Schließfach.ogg",NYI,NYI,"safe deposit box","https://commons.wikimedia.org/wiki/Special:FilePath/De-Schließfach.ogg"
8219,440,Angaben,"Deklinierte Form",De-Angaben.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Angaben.ogg
8220,440,Latte,Substantiv,De-Latte.ogg,NYI,NYI,"lath, bar, crossbar, hard-on",https://commons.wikimedia.org/wiki/Special:FilePath/De-Latte.ogg
8221,440,Zigarren,"Deklinierte Form","LL-Q188 (deu)-Sebastian Wallroth-Zigarren.wav",NYI,NYI,"","https://commons.wikimedia.org/wiki/Special:FilePath/LL-Q188 (deu)-Sebastian Wallroth-Zigarren.wav"
8222,440,"Erkältung",Substantiv,"De-Erkältung.ogg",NYI,NYI,cold,"https://commons.wikimedia.org/wiki/Special:FilePath/De-Erkältung.ogg"
